,date,store_id,cat_id,sales
0,2011-01-29,TX_1,FOODS,3950.35
1,2011-01-30,TX_1,FOODS,3844.97
2,2011-01-31,TX_1,FOODS,2888.03
3,2011-02-01,TX_1,FOODS,3631.28
4,2011-02-02,TX_1,FOODS,3072.18
5,2011-02-03,TX_1,FOODS,4827.67
6,2011-02-04,TX_1,FOODS,2865.66
7,2011-02-05,TX_1,FOODS,4446.09
8,2011-02-06,TX_1,FOODS,4991.76
9,2011-02-07,TX_1,FOODS,3551.25
10,2011-02-08,TX_1,FOODS,2690.66
11,2011-02-09,TX_1,FOODS,3602.84
12,2011-02-10,TX_1,FOODS,3233.29
13,2011-02-11,TX_1,FOODS,3696.21
14,2011-02-12,TX_1,FOODS,4803.05
15,2011-02-13,TX_1,FOODS,5817.36
16,2011-02-14,TX_1,FOODS,3271.07
17,2011-02-15,TX_1,FOODS,3859.7
18,2011-02-16,TX_1,FOODS,3210.92
19,2011-02-17,TX_1,FOODS,2965.81
20,2011-02-18,TX_1,FOODS,3186.52
21,2011-02-19,TX_1,FOODS,3965.15
22,2011-02-20,TX_1,FOODS,4145.67
23,2011-02-21,TX_1,FOODS,3224.6
24,2011-02-22,TX_1,FOODS,2893.82
25,2011-02-23,TX_1,FOODS,2580.78
26,2011-02-24,TX_1,FOODS,3083.86
27,2011-02-25,TX_1,FOODS,3013.17
28,2011-02-26,TX_1,FOODS,3803.96
29,2011-02-27,TX_1,FOODS,4289.93
30,2011-02-28,TX_1,FOODS,3161.71
31,2011-03-01,TX_1,FOODS,3199.07
32,2011-03-02,TX_1,FOODS,3113.6
33,2011-03-03,TX_1,FOODS,3335.43
34,2011-03-04,TX_1,FOODS,2973.72
35,2011-03-05,TX_1,FOODS,4587.39
36,2011-03-06,TX_1,FOODS,5018.7
37,2011-03-07,TX_1,FOODS,4076.49
38,2011-03-08,TX_1,FOODS,3290.18
39,2011-03-09,TX_1,FOODS,3846.26
40,2011-03-10,TX_1,FOODS,3030.62
41,2011-03-11,TX_1,FOODS,3307.94
42,2011-03-12,TX_1,FOODS,4870.73
43,2011-03-13,TX_1,FOODS,4889.51
44,2011-03-14,TX_1,FOODS,3892.37
45,2011-03-15,TX_1,FOODS,4377.82
46,2011-03-16,TX_1,FOODS,3225.75
47,2011-03-17,TX_1,FOODS,3487.95
48,2011-03-18,TX_1,FOODS,3552.71
49,2011-03-19,TX_1,FOODS,3926.72
50,2011-03-20,TX_1,FOODS,4366.33
51,2011-03-21,TX_1,FOODS,3028.0
52,2011-03-22,TX_1,FOODS,2800.49
53,2011-03-23,TX_1,FOODS,2716.85
54,2011-03-24,TX_1,FOODS,2879.23
55,2011-03-25,TX_1,FOODS,2915.94
56,2011-03-26,TX_1,FOODS,3774.77
57,2011-03-27,TX_1,FOODS,4428.66
58,2011-03-28,TX_1,FOODS,2898.23
59,2011-03-29,TX_1,FOODS,2703.51
60,2011-03-30,TX_1,FOODS,2694.68
61,2011-03-31,TX_1,FOODS,2671.67
62,2011-04-01,TX_1,FOODS,4154.01
63,2011-04-02,TX_1,FOODS,4189.61
64,2011-04-03,TX_1,FOODS,4789.81
65,2011-04-04,TX_1,FOODS,3337.22
66,2011-04-05,TX_1,FOODS,3983.45
67,2011-04-06,TX_1,FOODS,3628.76
68,2011-04-07,TX_1,FOODS,3914.32
69,2011-04-08,TX_1,FOODS,3584.55
70,2011-04-09,TX_1,FOODS,5022.85
71,2011-04-10,TX_1,FOODS,4903.23
72,2011-04-11,TX_1,FOODS,4055.29
73,2011-04-12,TX_1,FOODS,4296.46
74,2011-04-13,TX_1,FOODS,3858.9
75,2011-04-14,TX_1,FOODS,3163.74
76,2011-04-15,TX_1,FOODS,4008.39
77,2011-04-16,TX_1,FOODS,4488.14
78,2011-04-17,TX_1,FOODS,4508.33
79,2011-04-18,TX_1,FOODS,3300.54
80,2011-04-19,TX_1,FOODS,3091.63
81,2011-04-20,TX_1,FOODS,2843.33
82,2011-04-21,TX_1,FOODS,2964.78
83,2011-04-22,TX_1,FOODS,3458.35
84,2011-04-23,TX_1,FOODS,4293.11
85,2011-04-24,TX_1,FOODS,4079.7
86,2011-04-25,TX_1,FOODS,2749.95
87,2011-04-26,TX_1,FOODS,2659.14
88,2011-04-27,TX_1,FOODS,2425.32
89,2011-04-28,TX_1,FOODS,2132.04
90,2011-04-29,TX_1,FOODS,2849.33
91,2011-04-30,TX_1,FOODS,3561.22
92,2011-05-01,TX_1,FOODS,4933.17
93,2011-05-02,TX_1,FOODS,3043.98
94,2011-05-03,TX_1,FOODS,3682.08
95,2011-05-04,TX_1,FOODS,2680.66
96,2011-05-05,TX_1,FOODS,3502.48
97,2011-05-06,TX_1,FOODS,5524.79
98,2011-05-07,TX_1,FOODS,4693.59
99,2011-05-08,TX_1,FOODS,3548.13
100,2011-05-09,TX_1,FOODS,4031.75
101,2011-05-10,TX_1,FOODS,3560.05
102,2011-05-11,TX_1,FOODS,3061.04
103,2011-05-12,TX_1,FOODS,3407.58
104,2011-05-13,TX_1,FOODS,4224.42
105,2011-05-14,TX_1,FOODS,4077.11
106,2011-05-15,TX_1,FOODS,5071.82
107,2011-05-16,TX_1,FOODS,3647.55
108,2011-05-17,TX_1,FOODS,3348.94
109,2011-05-18,TX_1,FOODS,2669.4
110,2011-05-19,TX_1,FOODS,2845.08
111,2011-05-20,TX_1,FOODS,3183.92
112,2011-05-21,TX_1,FOODS,3768.73
113,2011-05-22,TX_1,FOODS,4008.41
114,2011-05-23,TX_1,FOODS,2904.74
