store_id,cat_id,date,sales,series_id
TX_1,FOODS,2011-01-29,3950.35,TX_1_FOODS
TX_1,FOODS,2011-01-30,3844.97,TX_1_FOODS
TX_1,FOODS,2011-01-31,2888.03,TX_1_FOODS
TX_1,FOODS,2011-02-01,3631.28,TX_1_FOODS
TX_1,FOODS,2011-02-02,3072.18,TX_1_FOODS
TX_1,FOODS,2011-02-03,4827.67,TX_1_FOODS
TX_1,FOODS,2011-02-04,2865.66,TX_1_FOODS
TX_1,FOODS,2011-02-05,4446.09,TX_1_FOODS
TX_1,FOODS,2011-02-06,4991.76,TX_1_FOODS
TX_1,FOODS,2011-02-07,3551.25,TX_1_FOODS
TX_1,FOODS,2011-02-08,2690.66,TX_1_FOODS
TX_1,FOODS,2011-02-09,3602.84,TX_1_FOODS
TX_1,FOODS,2011-02-10,3233.29,TX_1_FOODS
TX_1,FOODS,2011-02-11,3696.21,TX_1_FOODS
TX_1,FOODS,2011-02-12,4803.05,TX_1_FOODS
TX_1,FOODS,2011-02-13,5817.36,TX_1_FOODS
TX_1,FOODS,2011-02-14,3271.07,TX_1_FOODS
TX_1,FOODS,2011-02-15,3859.7,TX_1_FOODS
TX_1,FOODS,2011-02-16,3210.92,TX_1_FOODS
TX_1,FOODS,2011-02-17,2965.81,TX_1_FOODS
TX_1,FOODS,2011-02-18,3186.52,TX_1_FOODS
TX_1,FOODS,2011-02-19,3965.15,TX_1_FOODS
TX_1,FOODS,2011-02-20,4145.67,TX_1_FOODS
TX_1,FOODS,2011-02-21,3224.6,TX_1_FOODS
TX_1,FOODS,2011-02-22,2893.82,TX_1_FOODS
TX_1,FOODS,2011-02-23,2580.78,TX_1_FOODS
TX_1,FOODS,2011-02-24,3083.86,TX_1_FOODS
TX_1,FOODS,2011-02-25,3013.17,TX_1_FOODS
TX_1,FOODS,2011-02-26,3803.96,TX_1_FOODS
TX_1,FOODS,2011-02-27,4289.93,TX_1_FOODS
TX_1,FOODS,2011-02-28,3161.71,TX_1_FOODS
TX_1,FOODS,2011-03-01,3199.07,TX_1_FOODS
TX_1,FOODS,2011-03-02,3113.6,TX_1_FOODS
TX_1,FOODS,2011-03-03,3335.43,TX_1_FOODS
TX_1,FOODS,2011-03-04,2973.72,TX_1_FOODS
TX_1,FOODS,2011-03-05,4587.39,TX_1_FOODS
TX_1,FOODS,2011-03-06,5018.7,TX_1_FOODS
